file_name,num_lines,total_comps,false_positives,avg_line_length
../../books/10LinesFirst.txt,10,3,3,35
../../books/10LinesSecond.txt,10,4,4,35
../../books/100LinesFirst.txt,79,34,34,58
../../books/100LinesSecond.txt,76,37,37,57
../../books/1000LinesFirst.txt,791,477,463,61
../../books/1000LinesSecond.txt,824,514,485,62
../../books/10000LinesFirst.txt,8496,4751,4633,63
../../books/10000LinesSecond.txt,7072,3594,3393,55
../../books/50000Lines.txt,41718,24280,23767,64
../../books/100000Lines.txt,77633,43502,42665,61
../../books/500000Lines.txt,406844,219105,213702,59
../../books/1000000Lines.txt,776330,435020,426650,61
