file_name,num_lines,total_comps,false_positives,avg_line_length
../../books/10LinesFirst.txt,10,301,3,35
../../books/10LinesSecond.txt,10,295,4,35
../../books/100LinesFirst.txt,79,4161,34,58
../../books/100LinesSecond.txt,76,3965,37,57
../../books/1000LinesFirst.txt,791,44261,463,61
../../books/1000LinesSecond.txt,824,47333,485,62
../../books/10000LinesFirst.txt,8496,496251,4633,63
../../books/10000LinesSecond.txt,7072,351708,3393,55
../../books/50000Lines.txt,41718,2455726,23767,64
../../books/100000Lines.txt,77633,4329141,42665,61
../../books/500000Lines.txt,406844,22160857,213702,59
../../books/1000000Lines.txt,776330,43291410,426650,61
