file_name,inner_comps,outter_comps,total_comps,patterns_found,false_positives,avg_line_length,word1,-1
13,0,1,1,0,13,,,
101,7,1,8,7,101,,,
1045,43,1,44,43,1045,,,
48733,2723,1,2724,2723,48733,,,
10183,593,1,594,593,10183,,,
185919,11527,1,11528,11527,185919,,,
559618,32836,1,32837,32836,559618,,,
1010777,60686,1,60687,60686,1010777,,,
2665788,156239,1,156240,156239,2665788,,,
4808754,286821,1,286822,286821,4808754,,,
24652312,1441298,1,1441299,1441298,24652312,,,
48087540,2868210,1,2868211,2868210,48087540,,,
